Observer,Date,Site,Depth_m,Count,Genus,Species,Size,Percent_bleached,Percent_VN_dead,Percent_N_dead,Orientation,Note,Habitat,Percent_mortality,SizeStandardized,Percent_healthy,Percent_impact,impact
DB,7/9/19,LTER1,10,1,Acropora,globiceps,30+,95,5,0,B,NA,OR,5,30+ cm,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,globiceps,29-Oct,100,0,0,B,NA,OR,0,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,globiceps,29-Oct,0,100,0,B,NA,OR,100,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,globiceps,29-Oct,95,5,0,B,NA,OR,5,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,globiceps,30+,0,0,100,B,NA,OR,100,30+ cm,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,globiceps,29-Oct,100,0,0,B,NA,OR,0,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,globiceps,29-Oct,0,100,0,B,NA,OR,100,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,9-May,0,0,100,B,NA,OR,100,5-9 cm,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,29-Oct,0,0,100,B,NA,OR,100,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,30+,100,0,0,B,NA,OR,0,30+ cm,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,29-Oct,0,0,100,B,NA,OR,100,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,29-Oct,100,0,0,B,NA,OR,0,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,30+,0,100,0,B,NA,OR,100,30+ cm,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,30+,100,0,0,B,NA,OR,0,30+ cm,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,29-Oct,20,80,0,B,NA,OR,80,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,29-Oct,70,30,0,T,NA,OR,30,10 - 29 cm ,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,30+,100,0,0,B,NA,OR,0,30+ cm,0,100,1
DB,7/9/19,LTER1,10,1,Acropora,hyacinthus,9-May,0,0,100,B,NA,OR,100,5-9 cm,0,100,1
